episode,update,turns,winner,x_reward,rolling_x_reward_50,loss,policy_loss,value_loss,entropy
31,4,42,O,-1.0,-0.0967741935483871,0.19045985862612724,-0.04445057408884168,0.5534268282353878,4.180298277309963
32,4,53,X,1.0,-0.0625,0.19045985862612724,-0.04445057408884168,0.5534268282353878,4.180298277309963
33,5,86,O,-1.0,-0.09090909090909091,0.05928586247480578,-0.0484444391913712,0.2966113845921225,4.0575392908520165
34,5,79,X,1.0,-0.058823529411764705,0.05928586247480578,-0.0484444391913712,0.2966113845921225,4.0575392908520165
35,5,83,X,1.0,-0.02857142857142857,0.05928586247480578,-0.0484444391913712,0.2966113845921225,4.0575392908520165
36,5,68,O,-1.0,-0.05555555555555555,0.05928586247480578,-0.0484444391913712,0.2966113845921225,4.0575392908520165
37,5,76,O,-1.0,-0.08108108108108109,0.05928586247480578,-0.0484444391913712,0.2966113845921225,4.0575392908520165
38,5,45,X,1.0,-0.05263157894736842,0.05928586247480578,-0.0484444391913712,0.2966113845921225,4.0575392908520165
39,5,62,O,-1.0,-0.07692307692307693,0.05928586247480578,-0.0484444391913712,0.2966113845921225,4.0575392908520165
40,5,55,X,1.0,-0.05,0.05928586247480578,-0.0484444391913712,0.2966113845921225,4.0575392908520165
41,6,105,X,1.0,-0.024390243902439025,0.18305850960314274,-0.04704223480075598,0.5407132365637355,4.025587519009908
42,6,58,O,-1.0,-0.047619047619047616,0.18305850960314274,-0.04704223480075598,0.5407132365637355,4.025587519009908
43,6,69,X,1.0,-0.023255813953488372,0.18305850960314274,-0.04704223480075598,0.5407132365637355,4.025587519009908
44,6,43,X,1.0,0.0,0.18305850960314274,-0.04704223480075598,0.5407132365637355,4.025587519009908
45,6,53,X,1.0,0.022222222222222223,0.18305850960314274,-0.04704223480075598,0.5407132365637355,4.025587519009908
46,6,28,O,-1.0,0.0,0.18305850960314274,-0.04704223480075598,0.5407132365637355,4.025587519009908
47,6,84,O,-1.0,-0.02127659574468085,0.18305850960314274,-0.04704223480075598,0.5407132365637355,4.025587519009908
48,6,102,O,-1.0,-0.041666666666666664,0.18305850960314274,-0.04704223480075598,0.5407132365637355,4.025587519009908
49,7,50,O,-1.0,-0.061224489795918366,0.22331881360150874,-0.03608944156439975,0.6015683733858168,4.137593150138855
50,7,39,X,1.0,-0.04,0.22331881360150874,-0.03608944156439975,0.6015683733858168,4.137593150138855
51,7,60,O,-1.0,-0.08,0.22331881360150874,-0.03608944156439975,0.6015683733858168,4.137593150138855
52,7,71,X,1.0,-0.08,0.22331881360150874,-0.03608944156439975,0.6015683733858168,4.137593150138855
53,7,58,O,-1.0,-0.08,0.22331881360150874,-0.03608944156439975,0.6015683733858168,4.137593150138855
54,7,83,X,1.0,-0.04,0.22331881360150874,-0.03608944156439975,0.6015683733858168,4.137593150138855
55,7,63,X,1.0,0.0,0.22331881360150874,-0.03608944156439975,0.6015683733858168,4.137593150138855
