episode,turns,winner,x_reward,rolling_x_reward_50,epsilon,replay_size,avg_loss
47,51,X,1.0,-0.06382978723404255,0.6327731092436975,2690,0.003840933749041356
48,47,X,1.0,-0.041666666666666664,0.6247899159663866,2737,0.003904232459311235
49,50,O,-1.0,-0.061224489795918366,0.6168067226890757,2787,0.0034025462425779553
50,54,O,-1.0,-0.08,0.6088235294117648,2841,0.0034935936472956434
51,33,X,1.0,-0.04,0.6008403361344539,2874,0.005001260167001888
52,24,O,-1.0,-0.04,0.592857142857143,2898,0.003976927160692867
53,70,O,-1.0,-0.08,0.584873949579832,2968,0.003006438470246004
54,39,X,1.0,-0.04,0.576890756302521,3007,0.0038284365257893046
55,20,O,-1.0,-0.04,0.5689075630252101,3027,0.002663693491194863
56,53,X,1.0,-0.04,0.5609243697478992,3080,0.005644331176607114
57,33,X,1.0,0.0,0.5529411764705883,3113,0.003734500279692425
58,26,O,-1.0,0.0,0.5449579831932774,3139,0.004505454087988115
59,61,X,1.0,0.0,0.5369747899159665,3200,0.002703976419994791
60,84,O,-1.0,0.0,0.5289915966386555,3284,0.004932494813276987
61,58,O,-1.0,0.0,0.5210084033613446,3342,0.00366658040779996
62,18,O,-1.0,0.0,0.5130252100840337,3360,0.0015978622702985173
63,48,O,-1.0,0.0,0.5050420168067227,3408,0.004321657796632887
64,50,O,-1.0,0.0,0.4970588235294118,3458,0.004984365813434124
65,66,O,-1.0,-0.04,0.4890756302521009,3524,0.004547722311337676
66,47,X,1.0,-0.04,0.48109243697479,3571,0.0038372850921153624
67,82,O,-1.0,-0.04,0.473109243697479,3653,0.005327840832561799
68,46,O,-1.0,-0.08,0.4651260504201681,3699,0.0034012648532592248
69,46,O,-1.0,-0.12,0.4571428571428572,3745,0.0030959417136213947
70,73,X,1.0,-0.08,0.4491596638655462,3818,0.003673768214792115
71,68,O,-1.0,-0.08,0.4411764705882353,3886,0.003782461619908538
72,41,X,1.0,-0.04,0.4331932773109244,3927,0.0029379202325533075
73,62,O,-1.0,-0.08,0.4252100840336135,3989,0.0036643484716243563
74,50,O,-1.0,-0.12,0.4172268907563025,4039,0.0053880283772014086
75,76,O,-1.0,-0.16,0.4092436974789916,4115,0.0038873194946637867
76,26,O,-1.0,-0.16,0.4012605042016807,4141,0.00570314190386293
77,29,X,1.0,-0.12,0.3932773109243698,4170,0.003318495639993263
78,66,O,-1.0,-0.16,0.3852941176470588,4236,0.006324607473233658
79,34,O,-1.0,-0.2,0.3773109243697479,4270,0.0036116301232729763
80,29,X,1.0,-0.16,0.369327731092437,4299,0.003773822386925719
81,24,O,-1.0,-0.2,0.361344537815126,4323,0.006562795007387952
82,55,X,1.0,-0.16,0.3533613445378151,4378,0.004013798458882692
